"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-740.00","124.00","-864.00","28","12","16","42.86","57.14","0","0.00","0","",""
"CLU5","30.00","12.00","18.00","3","2","1","66.67","33.33","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250807","93213915","S","2025-08-07 07:59:59","6468","93213967","B","2025-08-07 08:00:45","6471","46.543398","1","-30.00","4.00","-34.00",""
"20250807","93213915","S","2025-08-07 07:59:59","6468","93213941","B","2025-08-07 08:00:24","6464","24.719545","1","40.00","4.00","36.00",""
"20250807","93213915","S","2025-08-07 07:59:59","6468","93213930","B","2025-08-07 08:00:11","6466","12.457193","1","20.00","4.00","16.00",""
"ESU5","-400.00","64.00","-464.00","13","6","7","46.15","53.85","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250807","93260740","S","2025-08-07 14:59:59","6368.50","93260758","B","2025-08-07 15:00:03","6368.50","4.149679","1","0.00","4.00","-4.00",""
"20250807","93260635","B","2025-08-07 14:59:00","6361.75","93260728","S","2025-08-07 14:59:50","6365.00","49.898403","1","162.50","4.00","158.50",""
"20250807","93260635","B","2025-08-07 14:59:00","6361.75","93260716","S","2025-08-07 14:59:46","6365.75","46.184987","1","200.00","4.00","196.00",""
"20250807","93260635","B","2025-08-07 14:59:00","6361.75","93260688","S","2025-08-07 14:59:34","6364.25","34.352160","1","125.00","4.00","121.00",""
"20250807","93260635","B","2025-08-07 14:59:00","6361.75","93260656","S","2025-08-07 14:59:12","6363.00","11.930505","1","62.50","4.00","58.50",""
"20250807","93260635","B","2025-08-07 14:59:00","6361.75","93260654","S","2025-08-07 14:59:10","6363.00","9.753744","1","62.50","4.00","58.50",""
"20250807","93228637","S","2025-08-07 09:48:05","6375.00","93230347","B","2025-08-07 09:48:52","6377.75","47.164517","1","-137.50","4.00","-141.50",""
"20250807","93228637","S","2025-08-07 09:48:05","6375.00","93230348","B","2025-08-07 09:48:52","6377.75","47.164472","4","-550.00","16.00","-566.00",""
"20250807","93228637","S","2025-08-07 09:48:05","6375.00","93230343","B","2025-08-07 09:48:52","6377.75","47.164358","1","-137.50","4.00","-141.50",""
"20250807","93228637","S","2025-08-07 09:48:05","6375.00","93230341","B","2025-08-07 09:48:52","6377.75","47.164309","1","-137.50","4.00","-141.50",""
"20250807","93228637","S","2025-08-07 09:48:05","6375.00","93230340","B","2025-08-07 09:48:13","6373.75","7.252357","1","62.50","4.00","58.50",""
"20250807","93223445","S","2025-08-07 09:10:20","6390.50","93223446","B","2025-08-07 09:10:44","6392.25","23.758558","1","-87.50","4.00","-91.50",""
"20250807","93223394","S","2025-08-07 09:10:12","6391.75","93223395","B","2025-08-07 09:10:44","6392.25","31.395172","1","-25.00","4.00","-29.00",""
"GCZ5","-370.00","48.00","-418.00","12","4","8","33.33","66.67","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250807","93224320","S","2025-08-07 09:14:30","3450.9","93224346","B","2025-08-07 09:14:43","3451.8","12.501667","1","-90.00","4.00","-94.00",""
"20250807","93224270","S","2025-08-07 09:14:09","3450.3","93224346","B","2025-08-07 09:14:43","3451.7","33.220223","1","-140.00","4.00","-144.00",""
"20250807","93224058","S","2025-08-07 09:12:50","3448.6","93224095","B","2025-08-07 09:13:52","3449.8","62.622263","1","-120.00","4.00","-124.00",""
"20250807","93224078","S","2025-08-07 09:12:50","3448.2","93224094","B","2025-08-07 09:13:51","3449.6","61.686175","1","-140.00","4.00","-144.00",""
"20250807","93224066","S","2025-08-07 09:12:48","3448.8","93224104","B","2025-08-07 09:13:50","3449.5","62.107155","1","-70.00","4.00","-74.00",""
"20250807","93223043","B","2025-08-07 09:09:02","3440.3","93223099","S","2025-08-07 09:09:15","3445.1","12.785694","1","480.00","4.00","476.00",""
"20250807","93222989","B","2025-08-07 09:08:46","3442.9","93223010","S","2025-08-07 09:08:49","3439.9","3.586932","1","-300.00","4.00","-304.00",""
"20250807","93222985","B","2025-08-07 09:08:45","3443.5","93223010","S","2025-08-07 09:08:49","3440.0","4.065537","1","-350.00","4.00","-354.00",""
"20250807","93222916","B","2025-08-07 09:08:36","3440.0","93222934","S","2025-08-07 09:08:37","3439.9","1.388630","1","-10.00","4.00","-14.00",""
"20250807","93213985","S","2025-08-07 08:01:31","3457.2","93213992","B","2025-08-07 08:01:54","3456.4","22.950852","1","80.00","4.00","76.00",""
"20250807","93213965","B","2025-08-07 08:00:39","3455.8","93213983","S","2025-08-07 08:01:29","3457.3","50.512115","1","150.00","4.00","146.00",""
"20250807","93213963","B","2025-08-07 08:00:37","3455.6","93213977","S","2025-08-07 08:01:06","3457.0","28.865060","1","140.00","4.00","136.00",""


