"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-647.50","144.00","-791.50","20","4","16","20.00","80.00","0","0.00","0","",""
"CLU5","-200.00","20.00","-220.00","1","0","1","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250812","93395235","B","2025-08-12 08:00:00","6348","93395288","S","2025-08-12 08:00:22","6344","21.790415","5","-200.00","20.00","-220.00",""
"ESU5","162.50","100.00","62.50","13","4","9","30.77","69.23","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250812","93432131","S","2025-08-12 14:59:49","6468.75","93432177","B","2025-08-12 15:00:00","6468.25","11.359665","5","125.00","20.00","105.00",""
"20250812","93432091","S","2025-08-12 14:59:26","6467.75","93432111","B","2025-08-12 14:59:32","6469.00","6.335745","5","-312.50","20.00","-332.50",""
"20250812","93432029","S","2025-08-12 14:59:00","6468.00","93432052","B","2025-08-12 14:59:12","6469.00","11.899330","5","-250.00","20.00","-270.00",""
"20250812","93431306","S","2025-08-12 14:50:33","6466.25","93431387","B","2025-08-12 14:51:22","6467.50","48.973139","1","-62.50","4.00","-66.50",""
"20250812","93401992","S","2025-08-12 08:46:55","6427.00","93406080","B","2025-08-12 09:02:15","6416.00","919.247230","1","550.00","4.00","546.00",""
"20250812","93401990","S","2025-08-12 08:46:55","6427.25","93402450","B","2025-08-12 08:48:45","6418.00","109.776330","1","462.50","4.00","458.50",""
"20250812","93401986","S","2025-08-12 08:46:54","6427.50","93402349","B","2025-08-12 08:48:28","6419.00","94.058017","1","425.00","4.00","421.00",""
"20250812","93401641","S","2025-08-12 08:45:22","6423.00","93401814","B","2025-08-12 08:46:09","6426.25","46.969571","1","-162.50","4.00","-166.50",""
"20250812","93401637","S","2025-08-12 08:45:22","6423.00","93401814","B","2025-08-12 08:46:09","6426.25","47.041080","1","-162.50","4.00","-166.50",""
"20250812","93401622","S","2025-08-12 08:45:19","6424.50","93401814","B","2025-08-12 08:46:09","6426.25","50.329116","1","-87.50","4.00","-91.50",""
"20250812","93401610","S","2025-08-12 08:45:18","6425.50","93401814","B","2025-08-12 08:46:09","6426.25","51.304645","1","-37.50","4.00","-41.50",""
"20250812","93392984","S","2025-08-12 07:33:06","6418.75","93393051","B","2025-08-12 07:33:20","6422.00","13.986561","1","-162.50","4.00","-166.50",""
"20250812","93392982","S","2025-08-12 07:33:06","6418.75","93393051","B","2025-08-12 07:33:20","6422.00","14.643253","1","-162.50","4.00","-166.50",""
"GCZ5","-110.00","8.00","-118.00","2","0","2","0.00","100.00","0","0.00","0","",""
"HEV5","-110.00","8.00","-118.00","2","0","2","0.00","100.00","0","0.00","0","",""
"NQU5","-390.00","8.00","-398.00","2","0","2","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250812","93392606","S","2025-08-12 07:31:00","23747.00","93392619","B","2025-08-12 07:31:05","23751.25","5.453493","1","-85.00","4.00","-89.00",""
"20250812","93392594","S","2025-08-12 07:30:45","23736.00","93392612","B","2025-08-12 07:31:05","23751.25","19.930321","1","-305.00","4.00","-309.00",""


