"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-117.50","76.00","-193.50","14","5","9","35.71","64.29","0","0.00","0","",""
"ESU5","-137.50","72.00","-209.50","13","4","9","30.77","69.23","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250818","93648529","S","2025-08-18 10:02:55","6469.75","93648535","B","2025-08-18 10:02:56","6470.25","0.378408","1","-25.00","4.00","-29.00",""
"20250818","93648530","S","2025-08-18 10:02:26","6469.50","93648533","B","2025-08-18 10:02:56","6470.25","29.491042","1","-37.50","4.00","-41.50",""
"20250818","93648531","S","2025-08-18 10:01:30","6469.25","93648532","B","2025-08-18 10:02:56","6470.25","85.787543","1","-50.00","4.00","-54.00",""
"20250818","93648445","S","2025-08-18 09:56:49","6466.50","93648473","B","2025-08-18 09:57:13","6468.25","24.373050","1","-87.50","4.00","-91.50",""
"20250818","93648439","S","2025-08-18 09:56:46","6467.00","93648472","B","2025-08-18 09:57:13","6468.25","26.405056","1","-62.50","4.00","-66.50",""
"20250818","93640058","S","2025-08-18 09:47:26","6460.75","93646535","B","2025-08-18 09:48:46","6463.25","80.090990","2","-250.00","8.00","-258.00",""
"20250818","93640058","S","2025-08-18 09:47:26","6460.75","93646533","B","2025-08-18 09:48:46","6463.25","80.090949","2","-250.00","8.00","-258.00",""
"20250818","93640058","S","2025-08-18 09:47:26","6460.75","93646531","B","2025-08-18 09:48:46","6463.25","80.090899","2","-250.00","8.00","-258.00",""
"20250818","93640058","S","2025-08-18 09:47:26","6460.75","93646530","B","2025-08-18 09:47:29","6459.00","3.673191","2","175.00","8.00","167.00",""
"20250818","93640058","S","2025-08-18 09:47:26","6460.75","93646528","B","2025-08-18 09:47:29","6459.50","3.611370","2","125.00","8.00","117.00",""
"20250818","93642336","S","2025-08-18 09:24:59","6474.00","93642346","B","2025-08-18 09:30:31","6465.00","331.561384","1","450.00","4.00","446.00",""
"20250818","93642335","S","2025-08-18 09:24:59","6474.00","93642776","B","2025-08-18 09:28:27","6471.50","208.418679","1","125.00","4.00","121.00",""
"20250818","93635097","S","2025-08-18 08:38:57","6466.50","93635105","B","2025-08-18 08:39:00","6466.50","2.871838","1","0.00","4.00","-4.00",""
"GCZ5","20.00","4.00","16.00","1","1","0","100.00","0.00","0","0.00","0","",""


