"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-1500.00","144.00","-1644.00","34","7","27","20.59","79.41","0","0.00","0","",""
"CLV5","280.00","24.00","256.00","6","5","1","83.33","16.67","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250821","93856270","B","2025-08-21 10:31:18","63.08","93856276","S","2025-08-21 10:31:22","63.05","4.127571","1","-30.00","4.00","-34.00",""
"20250821","93833678","S","2025-08-21 08:00:00","62.86","93833716","B","2025-08-21 08:02:38","62.82","157.786790","1","40.00","4.00","36.00",""
"20250821","93833678","S","2025-08-21 08:00:00","62.86","93833722","B","2025-08-21 08:02:36","62.81","156.081512","1","50.00","4.00","46.00",""
"20250821","93833678","S","2025-08-21 08:00:00","62.86","93833717","B","2025-08-21 08:01:38","62.80","98.012508","1","60.00","4.00","56.00",""
"20250821","93833678","S","2025-08-21 08:00:00","62.86","93833719","B","2025-08-21 08:01:37","62.79","97.267673","1","70.00","4.00","66.00",""
"20250821","93833678","S","2025-08-21 08:00:00","62.86","93833718","B","2025-08-21 08:01:16","62.77","76.152336","1","90.00","4.00","86.00",""
"ESU5","-1650.00","92.00","-1742.00","21","1","20","4.76","95.24","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250821","93873884","S","2025-08-21 14:59:47","6388.75","93873915","B","2025-08-21 15:00:03","6387.25","15.679280","1","75.00","4.00","71.00",""
"20250821","93858888","S","2025-08-21 12:16:21","6375.25","93864741","B","2025-08-21 12:17:12","6376.75","51.725340","1","-75.00","4.00","-79.00",""
"20250821","93858888","S","2025-08-21 12:16:21","6375.25","93864741","B","2025-08-21 12:17:12","6376.75","51.725387","1","-75.00","4.00","-79.00",""
"20250821","93858888","S","2025-08-21 12:16:21","6375.25","93864739","B","2025-08-21 12:17:12","6376.75","51.725394","2","-150.00","8.00","-158.00",""
"20250821","93858888","S","2025-08-21 12:16:21","6375.25","93864737","B","2025-08-21 12:17:12","6376.75","51.725404","1","-75.00","4.00","-79.00",""
"20250821","93858888","S","2025-08-21 12:16:21","6375.25","93864737","B","2025-08-21 12:17:12","6376.75","51.725450","1","-75.00","4.00","-79.00",""
"20250821","93858888","S","2025-08-21 12:16:21","6375.25","93864735","B","2025-08-21 12:17:12","6376.75","51.725460","2","-150.00","8.00","-158.00",""
"20250821","93858888","S","2025-08-21 12:16:21","6375.25","93864732","B","2025-08-21 12:17:12","6376.75","51.725461","1","-75.00","4.00","-79.00",""
