"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-1882.00","260.00","-2142.00","46","15","31","32.61","67.39","0","0.00","0","",""
"CLV5","-330.00","88.00","-418.00","11","7","4","63.64","36.36","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250822","93920840","S","2025-08-22 13:28:01","63.69","93920863","B","2025-08-22 13:29:00","63.65","58.591283","1","40.00","4.00","36.00",""
"20250822","93920840","S","2025-08-22 13:28:01","63.69","93920864","B","2025-08-22 13:28:35","63.64","34.424037","1","50.00","4.00","46.00",""
"20250822","93920840","S","2025-08-22 13:28:01","63.69","93920865","B","2025-08-22 13:28:27","63.68","25.889602","1","10.00","4.00","6.00",""
"20250822","93883561","S","2025-08-22 08:03:06","63.55","93883581","B","2025-08-22 08:03:39","63.58","32.714020","2","-60.00","8.00","-68.00",""
"20250822","93883519","S","2025-08-22 08:01:16","63.66","93883552","B","2025-08-22 08:02:25","63.65","68.508864","5","50.00","20.00","30.00",""
"20250822","93883515","S","2025-08-22 08:01:12","63.68","93883552","B","2025-08-22 08:02:25","63.65","73.159927","1","30.00","4.00","26.00",""
"20250822","93883515","S","2025-08-22 08:01:12","63.68","93883538","B","2025-08-22 08:02:22","63.64","70.330485","2","80.00","8.00","72.00",""
"20250822","93883515","S","2025-08-22 08:01:12","63.68","93883537","B","2025-08-22 08:02:22","63.64","70.330405","2","80.00","8.00","72.00",""
"20250822","93883448","S","2025-08-22 08:00:00","63.60","93883473","B","2025-08-22 08:00:29","63.69","29.217854","5","-450.00","20.00","-470.00",""
"20250822","93883448","S","2025-08-22 08:00:00","63.61","93883473","B","2025-08-22 08:00:29","63.69","29.217924","1","-80.00","4.00","-84.00",""
"20250822","93883448","S","2025-08-22 08:00:00","63.61","93883473","B","2025-08-22 08:00:29","63.69","29.217997","1","-80.00","4.00","-84.00",""
"ESU5","225.00","88.00","137.00","17","7","10","41.18","58.82","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250822","93923849","B","2025-08-22 14:59:27","6483.00","93923882","S","2025-08-22 14:59:48","6484.00","21.267804","2","100.00","8.00","92.00",""
"20250822","93923849","B","2025-08-22 14:59:27","6483.00","93923875","S","2025-08-22 14:59:44","6483.75","16.884767","1","37.50","4.00","33.50",""
"20250822","93923849","B","2025-08-22 14:59:27","6483.00","93923874","S","2025-08-22 14:59:42","6484.50","15.025986","1","75.00","4.00","71.00",""
"20250822","93923849","B","2025-08-22 14:59:27","6483.00","93923871","S","2025-08-22 14:59:40","6484.25","13.024735","1","62.50","4.00","58.50",""
