"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","917.50","112.00","805.50","20","13","7","65.00","35.00","0","0.00","0","",""
"CLV5","-70.00","48.00","-118.00","8","5","3","62.50","37.50","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250826","93982932","B","2025-08-26 08:00:44","63.83","93982948","S","2025-08-26 08:02:35","63.79","110.947177","5","-200.00","20.00","-220.00",""
"20250826","93982883","B","2025-08-26 08:00:00","63.76","93982897","S","2025-08-26 08:01:47","63.78","107.139327","1","20.00","4.00","16.00",""
"20250826","93982883","B","2025-08-26 08:00:00","63.76","93982903","S","2025-08-26 08:01:47","63.78","107.139239","1","20.00","4.00","16.00",""
"20250826","93982883","B","2025-08-26 08:00:00","63.76","93982902","S","2025-08-26 08:00:35","63.76","35.409098","1","0.00","4.00","-4.00",""
"20250826","93982883","B","2025-08-26 08:00:00","63.76","93982895","S","2025-08-26 08:00:35","63.76","35.409037","1","0.00","4.00","-4.00",""
"20250826","93982883","B","2025-08-26 08:00:00","63.75","93982898","S","2025-08-26 08:00:22","63.77","21.590984","1","20.00","4.00","16.00",""
"20250826","93982883","B","2025-08-26 08:00:00","63.75","93982900","S","2025-08-26 08:00:22","63.77","21.590822","1","20.00","4.00","16.00",""
"20250826","93982883","B","2025-08-26 08:00:00","63.75","93982894","S","2025-08-26 08:00:10","63.80","10.457351","1","50.00","4.00","46.00",""
"ESU5","987.50","60.00","927.50","11","8","3","72.73","27.27","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250826","94033376","S","2025-08-26 14:59:19","6483.50","94033392","B","2025-08-26 14:59:40","6483.75","20.576000","1","-12.50","4.00","-16.50",""
"20250826","94033152","B","2025-08-26 14:55:13","6478.50","94033295","S","2025-08-26 14:58:01","6483.25","167.210172","2","475.00","8.00","467.00",""
"20250826","94033152","B","2025-08-26 14:55:13","6478.50","94033249","S","2025-08-26 14:57:01","6481.75","107.502672","1","162.50","4.00","158.50",""
"20250826","94033152","B","2025-08-26 14:55:13","6478.50","94033230","S","2025-08-26 14:56:28","6480.75","74.388246","1","112.50","4.00","108.50",""
"20250826","94033152","B","2025-08-26 14:55:13","6478.50","94033203","S","2025-08-26 14:55:45","6480.50","31.433382","1","100.00","4.00","96.00",""
"20250826","94032928","B","2025-08-26 14:52:41","6478.75","94033072","S","2025-08-26 14:54:15","6477.75","93.385183","4","-200.00","16.00","-216.00",""
"20250826","94032928","B","2025-08-26 14:52:41","6478.75","94033002","S","2025-08-26 14:53:34","6480.25","52.827962","1","75.00","4.00","71.00",""
"20250826","94032847","B","2025-08-26 14:51:19","6477.75","94033000","S","2025-08-26 14:53:33","6480.25","133.825113","1","125.00","4.00","121.00",""
"20250826","93993130","B","2025-08-26 09:04:50","6455.75","93993143","S","2025-08-26 09:05:09","6455.25","18.438805","1","-25.00","4.00","-29.00",""
"20250826","93990806","S","2025-08-26 08:54:03","6455.75","93990971","B","2025-08-26 08:56:14","6453.50","130.217719","1","112.50","4.00","108.50",""
"20250826","93990800","S","2025-08-26 08:54:03","6455.75","93990925","B","2025-08-26 08:54:25","6454.50","22.778698","1","62.50","4.00","58.50",""
"NGV25","0.00","4.00","-4.00","1","0","1","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250826","94025380","S","2025-08-26 13:28:06","2.791","94025386","B","2025-08-26 13:28:08","2.791","2.940476","1","0.00","4.00","-4.00",""


