"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","87.50","116.00","-28.50","27","12","15","44.44","55.56","0","0.00","0","",""
"CLV5","-10.00","68.00","-78.00","15","7","8","46.67","53.33","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250828","94135240","S","2025-08-28 13:28:00","64.57","94135249","B","2025-08-28 13:28:32","64.60","32.171654","1","-30.00","4.00","-34.00",""
"20250828","94135240","S","2025-08-28 13:28:00","64.57","94135251","B","2025-08-28 13:28:25","64.59","24.960453","1","-20.00","4.00","-24.00",""
"20250828","94135240","S","2025-08-28 13:28:00","64.57","94135252","B","2025-08-28 13:28:21","64.58","21.715789","1","-10.00","4.00","-14.00",""
"20250828","94135240","S","2025-08-28 13:28:00","64.57","94135250","B","2025-08-28 13:28:19","64.57","19.312924","1","0.00","4.00","-4.00",""
"20250828","94134331","S","2025-08-28 13:03:38","64.42","94134332","B","2025-08-28 13:03:48","64.45","9.931007","1","-30.00","4.00","-34.00",""
"20250828","94134312","S","2025-08-28 13:02:43","64.39","94134317","B","2025-08-28 13:03:48","64.45","64.916610","1","-60.00","4.00","-64.00",""
"20250828","94117502","S","2025-08-28 09:39:00","63.68","94117507","B","2025-08-28 09:42:12","63.71","192.576505","1","-30.00","4.00","-34.00",""
"20250828","94117487","S","2025-08-28 09:38:50","63.69","94117506","B","2025-08-28 09:40:51","63.65","120.970339","1","40.00","4.00","36.00",""
"20250828","94116663","S","2025-08-28 09:32:27","63.56","94116667","B","2025-08-28 09:33:24","63.61","56.736131","1","-50.00","4.00","-54.00",""
"20250828","94100397","S","2025-08-28 08:00:00","64.09","94100456","B","2025-08-28 08:01:43","64.03","103.073321","2","120.00","8.00","112.00",""
"20250828","94100397","S","2025-08-28 08:00:00","64.09","94100399","B","2025-08-28 08:00:20","64.08","19.500716","1","10.00","4.00","6.00",""
"20250828","94100397","S","2025-08-28 08:00:00","64.09","94100399","B","2025-08-28 08:00:20","64.08","19.500492","1","10.00","4.00","6.00",""
"20250828","94100397","S","2025-08-28 08:00:00","64.09","94100399","B","2025-08-28 08:00:20","64.08","19.500454","1","10.00","4.00","6.00",""
"20250828","94100397","S","2025-08-28 08:00:00","64.09","94100399","B","2025-08-28 08:00:20","64.08","19.500413","1","10.00","4.00","6.00",""
"20250828","94100397","S","2025-08-28 08:00:00","64.09","94100399","B","2025-08-28 08:00:20","64.08","19.500235","2","20.00","8.00","12.00",""
"ESU5","-112.50","12.00","-124.50","3","1","2","33.33","66.67","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250828","94136883","B","2025-08-28 14:05:19","6516.75","94136896","S","2025-08-28 14:05:23","6517.00","4.295928","1","12.50","4.00","8.50",""
"20250828","94111753","S","2025-08-28 09:06:15","6488.75","94111936","B","2025-08-28 09:06:32","6490.00","16.790588","1","-62.50","4.00","-66.50",""
"20250828","94111744","S","2025-08-28 09:06:08","6488.50","94111934","B","2025-08-28 09:06:31","6489.75","22.662971","1","-62.50","4.00","-66.50",""
"GCZ5","-30.00","12.00","-42.00","3","1","2","33.33","66.67","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250828","94105178","B","2025-08-28 08:43:55","3461.6","94105329","S","2025-08-28 08:44:08","3461.0","13.056619","1","-60.00","4.00","-64.00",""
"20250828","94105179","B","2025-08-28 08:42:31","3461.8","94105283","S","2025-08-28 08:43:50","3462.1","79.004965","1","30.00","4.00","26.00",""
"20250828","94099318","B","2025-08-28 07:30:35","3462.7","94099324","S","2025-08-28 07:30:43","3462.7","8.107703","1","0.00","4.00","-4.00",""
"LEV5","-120.00","12.00","-132.00","3","0","3","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250828","94109029","S","2025-08-28 08:55:23","239.225","94109033","B","2025-08-28 08:55:29","239.300","6.041158","1","-30.00","4.00","-34.00",""
