"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-672.50","172.00","-844.50","29","13","16","44.83","55.17","0","0.00","0","",""
"CLV5","0.00","56.00","-56.00","7","5","2","71.43","28.57","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250829","94175642","S","2025-08-29 08:00:51","64.46","94175685","B","2025-08-29 08:05:46","64.38","295.777382","1","80.00","4.00","76.00",""
"20250829","94175642","S","2025-08-29 08:00:51","64.46","94175684","B","2025-08-29 08:02:44","64.42","113.351652","1","40.00","4.00","36.00",""
"20250829","94175642","S","2025-08-29 08:00:51","64.46","94175664","B","2025-08-29 08:01:56","64.40","65.036526","1","60.00","4.00","56.00",""
"20250829","94175640","S","2025-08-29 08:00:50","64.49","94175664","B","2025-08-29 08:01:56","64.40","65.827874","1","90.00","4.00","86.00",""
"20250829","94175640","S","2025-08-29 08:00:50","64.49","94175662","B","2025-08-29 08:01:50","64.36","60.573729","2","260.00","8.00","252.00",""
"20250829","94175566","B","2025-08-29 08:00:01","64.53","94175582","S","2025-08-29 08:00:05","64.46","4.104608","5","-350.00","20.00","-370.00",""
"20250829","94175566","B","2025-08-29 08:00:01","64.53","94175582","S","2025-08-29 08:00:05","64.47","4.104549","3","-180.00","12.00","-192.00",""
"ESU5","-612.50","32.00","-644.50","3","0","3","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250829","94244321","B","2025-08-29 14:59:01","6473.50","94244354","S","2025-08-29 14:59:06","6471.75","5.120046","5","-437.50","20.00","-457.50",""
"20250829","94210056","S","2025-08-29 09:49:30","6460.00","94210228","B","2025-08-29 09:49:34","6461.25","3.966122","2","-125.00","8.00","-133.00",""
"20250829","94186199","B","2025-08-29 08:56:38","6479.50","94186498","S","2025-08-29 08:57:32","6478.50","54.447353","1","-50.00","4.00","-54.00",""
"GCZ5","-30.00","28.00","-58.00","7","4","3","57.14","42.86","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250829","94207094","S","2025-08-29 09:42:22","3503.4","94207133","B","2025-08-29 09:42:45","3503.3","22.976588","1","10.00","4.00","6.00",""
"20250829","94207094","S","2025-08-29 09:42:22","3503.4","94207133","B","2025-08-29 09:42:45","3503.3","22.978404","1","10.00","4.00","6.00",""
"20250829","94206082","S","2025-08-29 09:40:25","3502.6","94206142","B","2025-08-29 09:40:37","3503.2","11.865212","1","-60.00","4.00","-64.00",""
"20250829","94206082","S","2025-08-29 09:40:25","3502.6","94206142","B","2025-08-29 09:40:37","3503.1","11.865163","1","-50.00","4.00","-54.00",""
