"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","1995.00","332.00","1663.00","63","31","32","49.21","50.79","0","0.00","0","",""
"CLV5","400.00","52.00","348.00","9","5","4","55.56","44.44","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250904","94477194","B","2025-09-04 12:01:34","63.61","94477235","S","2025-09-04 12:01:56","63.60","21.573748","3","-30.00","12.00","-42.00",""
"20250904","94472138","S","2025-09-04 11:00:43","63.48","94472165","B","2025-09-04 11:02:04","63.37","80.366041","1","110.00","4.00","106.00",""
"20250904","94472138","S","2025-09-04 11:00:43","63.48","94472163","B","2025-09-04 11:01:37","63.31","53.406698","1","170.00","4.00","166.00",""
"20250904","94472140","S","2025-09-04 11:00:38","63.46","94472166","B","2025-09-04 11:01:19","63.36","41.196723","1","100.00","4.00","96.00",""
"20250904","94472140","S","2025-09-04 11:00:38","63.46","94472162","B","2025-09-04 11:01:02","63.42","24.417944","1","40.00","4.00","36.00",""
"20250904","94469223","S","2025-09-04 10:30:39","63.54","94469289","B","2025-09-04 10:31:05","63.55","26.279737","2","-20.00","8.00","-28.00",""
"20250904","94469223","S","2025-09-04 10:30:39","63.54","94469289","B","2025-09-04 10:31:05","63.55","26.280700","2","-20.00","8.00","-28.00",""
"20250904","94441388","B","2025-09-04 08:31:04","63.15","94441511","S","2025-09-04 08:33:50","63.15","165.816171","1","0.00","4.00","-4.00",""
"20250904","94441388","B","2025-09-04 08:31:04","63.15","94441505","S","2025-09-04 08:31:54","63.20","49.745655","1","50.00","4.00","46.00",""
"ESU5","0.00","24.00","-24.00","6","3","3","50.00","50.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250904","94489646","B","2025-09-04 14:59:44","6510.25","94489655","S","2025-09-04 14:59:45","6509.75","0.713101","1","-25.00","4.00","-29.00",""
"20250904","94489653","B","2025-09-04 14:59:44","6510.50","94489649","S","2025-09-04 14:59:45","6509.75","1.490992","1","-37.50","4.00","-41.50",""
"20250904","94483501","B","2025-09-04 14:14:09","6502.75","94485978","S","2025-09-04 14:17:36","6502.00","207.014285","1","-37.50","4.00","-41.50",""
"20250904","94483501","B","2025-09-04 14:14:09","6502.75","94485977","S","2025-09-04 14:14:30","6503.25","21.804154","1","25.00","4.00","21.00",""
"20250904","94483501","B","2025-09-04 14:14:09","6502.75","94485975","S","2025-09-04 14:14:25","6503.75","16.050304","1","50.00","4.00","46.00",""
"20250904","94483501","B","2025-09-04 14:14:09","6502.75","94485973","S","2025-09-04 14:14:16","6503.25","7.362425","1","25.00","4.00","21.00",""
"GCZ5","1030.00","180.00","850.00","36","15","21","41.67","58.33","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250904","94426940","B","2025-09-03 18:35:25","3611.6","94427238","S","2025-09-03 19:00:36","3613.3","1510.792435","1","170.00","4.00","166.00",""
"20250904","94426935","B","2025-09-03 18:34:49","3611.2","94426961","S","2025-09-03 18:42:23","3613.1","453.879078","1","190.00","4.00","186.00",""
"20250904","94426930","B","2025-09-03 18:34:15","3611.8","94426948","S","2025-09-03 18:37:34","3612.4","198.626610","1","60.00","4.00","56.00",""
"20250904","94426926","B","2025-09-03 18:33:45","3611.6","94426949","S","2025-09-03 18:37:34","3612.4","228.428460","1","80.00","4.00","76.00",""
"20250904","94426914","S","2025-09-03 18:33:17","3611.3","94426925","B","2025-09-03 18:33:39","3611.5","21.788909","1","-20.00","4.00","-24.00",""
"20250904","94426909","B","2025-09-03 18:32:53","3611.0","94426912","S","2025-09-03 18:33:01","3611.1","8.799789","1","10.00","4.00","6.00",""
"20250904","94426906","B","2025-09-03 18:32:47","3610.6","94426912","S","2025-09-03 18:33:01","3611.1","14.462891","1","50.00","4.00","46.00",""
"20250904","94426905","B","2025-09-03 18:32:40","3610.7","94426912","S","2025-09-03 18:33:01","3611.1","21.589934","1","40.00","4.00","36.00",""
"20250904","94426902","B","2025-09-03 18:32:32","3610.4","94426912","S","2025-09-03 18:33:01","3611.1","29.549901","1","70.00","4.00","66.00",""
"20250904","94426881","B","2025-09-03 18:29:57","3612.5","94426883","S","2025-09-03 18:30:30","3612.0","32.372934","1","-50.00","4.00","-54.00",""
"20250904","94426880","B","2025-09-03 18:29:46","3612.2","94426883","S","2025-09-03 18:30:30","3612.0","43.401266","1","-20.00","4.00","-24.00",""
"20250904","94426879","B","2025-09-03 18:29:46","3612.2","94426883","S","2025-09-03 18:30:30","3612.1","44.082350","1","-10.00","4.00","-14.00",""
"20250904","94426876","B","2025-09-03 18:28:50","3612.9","94426877","S","2025-09-03 18:29:06","3611.8","15.502197","1","-110.00","4.00","-114.00",""
"20250904","94426875","B","2025-09-03 18:28:49","3612.7","94426877","S","2025-09-03 18:29:06","3611.8","16.638946","1","-90.00","4.00","-94.00",""
"20250904","94426874","B","2025-09-03 18:28:48","3612.8","94426877","S","2025-09-03 18:29:06","3611.8","17.326761","1","-100.00","4.00","-104.00",""
"20250904","94426873","B","2025-09-03 18:28:46","3612.7","94426877","S","2025-09-03 18:29:06","3611.8","20.147495","1","-90.00","4.00","-94.00",""
"20250904","94426857","S","2025-09-03 18:27:17","3611.2","94426872","B","2025-09-03 18:28:27","3612.9","69.425785","1","-170.00","4.00","-174.00",""
